EMP_Micro,EMP_Meso,EMP_Macro,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP,LI_Meso,LI_Micro,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,IBMR
NA,NA,NA,NA,NA,NA,NA,Acartiella copepodid,NA,NA,NA,NA,NA,Juvenile,Osphranticum,Genus,Arthropoda,Copepoda,Calanoida,Centropagidae,Osphranticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,ASINEJUV,NA,ASINEJUV,NA,ASINEJUV,NA,NA,Acartiella copepodid,Acartiella copepodid,NA,NA,NA,Juvenile,Pseudodiaptomus forbesi,Species,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,NA,NA,NA,NA,NA,NA,NA,NA,pdiapjuv
NA,CALJUV,NA,NA,NA,NA,NA,calanoid copepodid,calanoid copepodid,calanoid copepodid,NA,NA,NA,Juvenile,Sinocalanus doerrii,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,DIAPTOM,NA,DIAPTOM,NA,DIAPTOM,NA,NA,Diaptomidae spp.,Diaptomidae spp.,NA,NA,NA,Juvenile,Tortanus,Genus,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,DIAPTJUV,NA,DIAPTJUV,NA,DIAPTJUV,NA,NA,Diaptomidae copepodid,Diaptomidae copepodid,NA,NA,NA,Juvenile,Acartia,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,NA,NA,1/1/2006,NA,1/1/2006,NA,1/1/2006,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,Eurytemora nauplii,Eurytemora nauplii,Eurytemora nauplii,NA,NA,NA,Juvenile,Acartiella,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,NA,1/1/1993,NA,NA,NA,NA,1/1/2006,NA,NA,othcaljuv
EURYNAUP,EURYNAUP,NA,EURYNAUP,NA,EURYNAUP,NA,NA,NA,NA,NA,NA,NA,Juvenile,Acartiella sinensis,Species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,1/1/1993,1/1/2006,NA,1/1/2006,NA,NA,NA,NA,othcaljuv
NA,PDIAPJUV,NA,PDIAPJUV,NA,PDIAPJUV,NA,Pseudodiaptomus copepodid,Pseudodiaptomus copepodid,Pseudodiaptomus copepodid,NA,NA,NA,Juvenile,Calanoida,Order,Arthropoda,Copepoda,Calanoida,NA,NA,NA,NA,1/1/1972,1/1/1989,NA,NA,1/1/1995,NA,NA,othcaljuv
PDIAPNAUP,PDIAPNAUP,NA,PDIAPNAUP,NA,PDIAPNAUP,NA,Pseudodiaptomus nauplii,Pseudodiaptomus nauplii,Pseudodiaptomus nauplii,NA,NA,NA,Juvenile,Diaptomidae,Family,Arthropoda,Copepoda,Calanoida,Diaptomidae,NA,NA,NA,1/1/2006,NA,1/1/2006,NA,NA,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,Pseudodiaptomus euryhalinus,Pseudodiaptomus euryhalinus,Pseudodiaptomus euryhalinus,NA,NA,NA,Juvenile,Pseudodiaptomus,Genus,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,NA,1/1/1986,1/1/1990,NA,1/1/1990,NA,1/1/1998,NA,NA,othcaljuv
NA,PDIAPMAR,NA,PDIAPMAR,NA,PDIAPMAR,NA,Pseudodiaptomus marinus,Pseudodiaptomus marinus,Pseudodiaptomus marinus,NA,NA,NA,Juvenile,Sinocalanus,Genus,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,NA,1/1/1978,1/1/1989,NA,1/1/1989,NA,1/1/2006,NA,NA,othcaljuv
NA,SINOCALJUV,NA,SINOCALJUV,NA,SINOCALJUV,NA,Sinocalanus copepodid,Sinocalanus copepodid,Sinocalanus copepodid,NA,NA,NA,Juvenile,Tortanus,Genus,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,NA,1/1/1993,1/1/2006,NA,1/1/2006,NA,1/1/2006,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,Sinocalanus nauplii,NA,NA,NA,NA,NA,Larva,Eurytemora,Genus,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,NA,NA,NA,NA,NA,NA,1/1/2006,NA,NA,allcopnaup
SINONAUP,SINONAUP,NA,SINONAUP,NA,SINONAUP,NA,NA,Sinocalanus nauplii,Sinocalanus nauplii,NA,NA,NA,Larva,Eurytemora affinis,Species,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora affinis,NA,1/1/1989,NA,1/1/1989,NA,NA,NA,NA,allcopnaup
NA,TORTJUV,NA,TORTJUV,NA,TORTJUV,NA,Tortanus copepodid,Tortanus copepodid,Tortanus copepodid,NA,NA,NA,Larva,Pseudodiaptomus,Genus,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,NA,1/1/1986,1/1/2000,NA,1/1/2000,NA,1/1/2006,NA,NA,allcopnaup
NA,NA,NA,NA,NA,NA,NA,Tortanus dextrilobatus,Tortanus dextrilobatus,Tortanus dextrilobatus,NA,NA,NA,Larva,Sinocalanus,Genus,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,NA,1/1/1978,NA,NA,NA,NA,1/1/2006,NA,NA,allcopnaup
NA,NA,NA,NA,NA,NA,NA,Tortanus discaudatus,Tortanus discaudatus,Tortanus discaudatus,NA,NA,NA,Larva,Sinocalanus doerrii,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,1/1/1978,1/1/1989,NA,1/1/1989,NA,NA,NA,NA,allcopnaup
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurytemora affinis,Eurytemora affinis,Undifferentiated,Eurytemora affinis,Species,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora affinis,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinocalanus doerrii,Sinocalanus doerrii,Undifferentiated,Sinocalanus doerrii,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,1/1/1978,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi,Undifferentiated,Pseudodiaptomus forbesi,Species,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,1/1/1987,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,ACANTHO,NA,ACANTHO,NA,ACANTHO,NA,NA,NA,NA,Acanthocyclops sp. adult,NA,NA,Adult,Acanthocyclops,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,NA,NA,1/1/1972,NA,1/1/1972,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocyclops vernalis copepodid,NA,NA,Adult,Acanthocyclops vernalis,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,1/1/2011,1/1/2014,othcyc
NA,AVERNAL,NA,AVERNAL,NA,AVERNAL,NA,Acanthocyclops,Acanthocyclops,Acanthocyclops,Acanthocyclops vernalis adult,NA,NA,Adult,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othcyc
NA,OTHCYCAD,NA,OTHCYCAD,NA,OTHCYCAD,NA,Other cyclopoid,Cyclopoid Other,Cyclopoid Other,Cyclopoida adult,NA,NA,Adult,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,UnID cyclopoid,Cyclopoid UNID,Cyclopoid UNID,NA,NA,NA,Adult,Diacyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
CYCJUV,CYCJUV,NA,NA,NA,NA,NA,cyclopoid copepodid,Cyclopoid copepodid,Cyclopoid copepodid,Cyclopoida copepodid,NA,NA,Adult,Diacyclops thomasi,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,thomasi,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diacyclops sp. adult,NA,NA,Adult,Platycyclops phaleratus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Platycyclops,phaleratus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,Diacyclops,Diacyclops,Diacyclops thomasi adult,NA,NA,Adult,Ergasilus,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Ergasilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ectocyclops phaleratus adult,NA,NA,Adult,Eucyclops agilis,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,agilis,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ectocyclops phaleratus copepodid,NA,NA,Adult,Eucyclops elegans,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,elegans,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ergasilus sp. adult,NA,NA,Adult,Eucyclops pectinifer,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,pectinifer,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ergasilus sp. copepodid,NA,NA,Adult,Platycyclops phaleratus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Platycyclops,phaleratus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucyclops agilis adult,NA,NA,Adult,Eucyclops prionophorus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,prionophorus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucyclops elegans adult,NA,NA,Adult,Eucyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucyclops pectinifer adult,NA,NA,Adult,Lernaea,Genus,Arthropoda,Copepoda,Cyclopoida,Lernaeidae,Lernaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucyclops phaleratus adult,NA,NA,Adult,Limnoithona sinensis,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis,1/1/1979,1/1/2007,NA,1/1/2007,NA,1/1/2006,NA,NA,limno
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucyclops prionophorus adult,NA,NA,Adult,Limnoithona,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,NA,1/1/1979,1/1/1979,NA,1/1/1979,NA,NA,NA,NA,limno
NA,NA,NA,NA,NA,NA,NA,NA,Eucyclops,Eucyclops,Eucyclops sp. adult,NA,NA,Adult,Limnoithona tetraspina,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona tetraspina,1/1/1993,1/1/2007,NA,1/1/2007,NA,1/1/2006,NA,NA,limno
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lernaea sp. undifferentiated,NA,NA,Adult,Macrocyclops albidus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,albidus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
LIMNOSINE,LIMNOSINE,NA,LIMNOSINE,NA,LIMNOSINE,NA,Limnoithona sinensis,Limnoithona sinensis,Limnoithona sinensis,Limnoithona sinensis adult,NA,NA,Adult,Macrocyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
LIMNOSPP,LIMNOSPP,NA,LIMNOSPP,NA,LIMNOSPP,NA,Limnoithona spp_,Limnoithona spp.,Limnoithona spp.,Limnoithona sp. adult,NA,NA,Adult,Mesocyclops edax,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,edax,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
LIMNOJUV,LIMNOJUV,NA,LIMNOJUV,NA,LIMNOJUV,NA,Limnoithona juvenile,NA,NA,Limnoithona sp. copepodid,NA,NA,Adult,Microcyclops rubellus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,rubellus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
LIMNOTET,LIMNOTET,NA,LIMNOTET,NA,LIMNOTET,NA,Limnoithona tetraspina,Limnoithona tetraspina,Limnoithona tetraspina,Limnoithona tetraspina adult,NA,NA,Adult,Microcyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrocyclops albidus adult,NA,NA,Adult,Oithona davisae,Species,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona davisae,1/1/1963,1/1/1980,NA,1/1/1980,NA,1/1/1995,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,Macrocyclops,Macrocyclops,Macrocyclops sp. adult,NA,NA,Adult,Oithona similis,Species,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona similis,NA,1/1/1980,NA,1/1/1980,NA,1/1/1995,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mesocyclops edax adult,NA,NA,Adult,Oithona,Genus,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,NA,NA,1/1/2007,NA,1/1/1980,NA,1/1/1995,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microcyclops rubellus adult,NA,NA,Adult,Paracyclops chiltoni,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,chiltoni,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microcyclops sp. adult,NA,NA,Adult,Paracyclops fimbriatus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,fimbriatus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
OITHDAV,OITHDAV,NA,OITHDAV,NA,OITHDAV,NA,Oithona davisae,Oithona davisae,Oithona davisae,Oithona davisae adult,NA,NA,Adult,Paracyclops poppei,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,poppei,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
OITHSIM,OITHSIM,NA,OITHSIM,NA,OITHSIM,NA,Oithona similis,Oithona similis,Oithona similis,Oithona similis adult,NA,NA,Adult,Paracyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
OITHSPP,OITHSPP,NA,OITHSPP,NA,OITHSPP,NA,Oithona spp_,Oithona spp.,Oithona spp.,Oithona sp. adult,NA,NA,Adult,Tropocyclops prasinus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,prasinus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
OITHJUV,OITHJUV,NA,OITHJUV,NA,OITHJUV,NA,Oithona juvenile,NA,NA,Oithona sp. copepodid,NA,NA,Adult,Tropocyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paracyclops chiltoni adult,NA,NA,Adult,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,1/1/1975,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paracyclops fimbriatus adult,NA,NA,Adult,Halicyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Halicyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paracyclops poppei adult,NA,NA,Adult,Homocyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Homocyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,Paracyclops,Paracyclops,Paracyclops sp. adult,NA,NA,Adult,Mesocyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropocyclops prasinus adult,NA,NA,Juvenile,Acanthocyclops vernalis,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropocyclops sp. adult,NA,NA,Juvenile,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,1/1/1972,1/1/1995,NA,NA,1/1/1995,NA,NA,othcyc
OTHCYCADPUMP,NA,NA,NA,NA,NA,NA,NA,Cyclopoid,Cyclopoid,NA,NA,NA,Juvenile,Platycyclops phaleratus,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Platycyclops,phaleratus,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
OTHCYCJUV,OTHCYCJUV,NA,OTHCYCJUV,NA,OTHCYCJUV,NA,NA,NA,NA,NA,NA,NA,Juvenile,Ergasilus,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Ergasilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,Halicyclops,Halicyclops,NA,NA,NA,Juvenile,Limnoithona,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,NA,1/1/1979,1/1/1995,NA,1/1/1995,NA,1/1/2006,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,Homocyclops,Homocyclops,NA,NA,NA,Juvenile,Oithona,Genus,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,NA,NA,1/1/1995,NA,1/1/1995,NA,1/1/2006,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,Mesocyclops,Mesocyclops,NA,NA,NA,Juvenile,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,1/1/1995,NA,1/1/1995,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyclopodia,Cyclopodia,Undifferentiated,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcyc
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limnoithona sinensis,Limnoithona sinensis,Undifferentiated,Limnoithona sinensis,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis,1/1/1979,NA,NA,NA,NA,NA,NA,NA,othcyc
HARPACT,HARPACT,NA,HARPACT,NA,HARPACT,NA,Harpacticoids,Harpacticoids,Harpacticoids,Harpacticoida undifferentiated,NA,NA,Undifferentiated,Harpacticoida,Order,Arthropoda,Copepoda,Harpacticoida,NA,NA,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othcyc
COPNAUP,COPNAUP,NA,NA,NA,NA,NA,copepod nauplii,NA,NA,Copepoda nauplius,NA,NA,Adult,Copepoda,Class,Arthropoda,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
OTHCOPNAUP,OTHCOPNAUP,NA,OTHCOPNAUP,NA,OTHCOPNAUP,NA,NA,Copepod Nauplii,Copepod Nauplii,NA,NA,NA,Adult,Copepoda,Class,Arthropoda,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,Copepod UNID,Copepod UNID,NA,NA,NA,Larva,Copepoda,Subclass,Arthropoda,Copepoda,NA,NA,NA,NA,NA,1/1/1972,1/1/1989,NA,NA,1/1/1995,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,NA,Parasitic Copepod,Parasitic Copepod,NA,NA,NA,Larva,Copepoda,Subclass,Arthropoda,Copepoda,NA,NA,NA,NA,NA,1/1/1989,NA,1/1/1989,NA,NA,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepoda,Copepoda,Undifferentiated,Copepoda,Class,Arthropoda,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,Carabidae Larvae,Carabidae Larvae,NA,NA,NA,Adult,Chrysomelidae,Family,Arthropoda,Insecta,Coleoptera,Chrysomelidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Chrysomelidae Adult,Chrysomelidae Adult,NA,NA,NA,Adult,Coccinellidae,Family,Arthropoda,Insecta,Coleoptera,Coccinellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Coccinellidae Adult,Coccinellidae Adult,NA,NA,NA,Adult,Coleoptera,Order,Arthropoda,Insecta,Coleoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Coccinellidae Larvae,Coccinellidae Larvae,NA,NA,NA,Adult,Curculionidae,Family,Arthropoda,Insecta,Coleoptera,Curculionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Coleoptera Larvae,Coleoptera Larvae,NA,NA,NA,Adult,Curculionidae,Family,Arthropoda,Insecta,Coleoptera,Curculionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Coleoptera Other,Coleoptera Other,NA,NA,NA,Adult,Dytiscidae,Family,Arthropoda,Insecta,Coleoptera,Dytiscidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Curculionidae,Curculionidae,NA,NA,NA,Adult,Elmidae,Family,Arthropoda,Insecta,Coleoptera,Elmidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Curculionidae Larvae,Curculionidae Larvae,NA,NA,NA,Adult,Hydraenidae,Family,Arthropoda,Insecta,Coleoptera,Hydraenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Curculionidae adult,Curculionidae adult,NA,NA,NA,Adult,Hydrophilidae,Family,Arthropoda,Insecta,Coleoptera,Hydrophilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Dytiscidae larvae,Dytiscidae larvae,NA,NA,NA,Adult,Hydroscaphidae,Family,Arthropoda,Insecta,Coleoptera,Hydroscaphidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Dytiscidae adult,Dytiscidae adult,NA,NA,NA,Adult,Noteridae,Family,Arthropoda,Insecta,Coleoptera,Noteridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Elmidae,Elmidae,NA,NA,NA,Adult,Ptiliidae,Family,Arthropoda,Insecta,Coleoptera,Ptiliidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Elmidae larvae,Elmidae larvae,NA,NA,NA,Adult,Scirtidae,Family,Arthropoda,Insecta,Coleoptera,Scirtidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Gyrinidae larvae,Gyrinidae larvae,NA,NA,NA,Adult,Scolytus,Genus,Arthropoda,Insecta,Coleoptera,Curculionidae,Scolytus,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Haliplidae Larvae,Haliplidae Larvae,NA,NA,NA,Adult,Staphylinidae,Family,Arthropoda,Insecta,Coleoptera,Staphylinidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydraenidae,Hydraenidae,NA,NA,NA,Adult,Tenebrionidae,Family,Arthropoda,Insecta,Coleoptera,Tenebrionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
