EMP_Micro,EMP_Meso,EMP_Macro,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP,LI_Meso,LI_Micro,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,IBMR
NA,NA,NA,NA,NA,NA,NA,NA,Hydrophilidae Larvae Beetle,Hydrophilidae Larvae Beetle,NA,NA,NA,Larva,Carabidae,Family,Arthropoda,Insecta,Coleoptera,Carabidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydrophilidae Adult Beetle,Hydrophilidae Adult Beetle,NA,NA,NA,Larva,Coccinellidae,Family,Arthropoda,Insecta,Coleoptera,Coccinellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydroscaphidae Adult,Hydroscaphidae Adult,NA,NA,NA,Larva,Coleoptera,Order,Arthropoda,Insecta,Coleoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Noteridae,Noteridae,NA,NA,NA,Larva,Curculionidae,Family,Arthropoda,Insecta,Coleoptera,Curculionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ptilidae,Ptilidae,NA,NA,NA,Larva,Dytiscidae,Family,Arthropoda,Insecta,Coleoptera,Dytiscidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Scirtidae adult,Scirtidae adult,NA,NA,NA,Larva,Elmidae,Family,Arthropoda,Insecta,Coleoptera,Elmidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Scolytinae Adult,Scolytinae Adult,NA,NA,NA,Larva,Gyrinidae,Family,Arthropoda,Insecta,Coleoptera,Gyrinidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Staphylinidae adult,Staphylinidae adult,NA,NA,NA,Larva,Haliplidae,Family,Arthropoda,Insecta,Coleoptera,Haliplidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tenebrionidae adult,Tenebrionidae adult,NA,NA,NA,Larva,Hydrophilidae,Family,Arthropoda,Insecta,Coleoptera,Hydrophilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Earwig,Earwig,NA,NA,NA,Adult,Dermaptera,Order,Arthropoda,Insecta,Dermaptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,Chironomid larvae,Chironomid Larvae,Chironomid Larvae,Chironomidae larva,NA,NA,Adult,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ceratopogonidae larvae,Ceratopogonidae larvae,NA,NA,NA,Larva,Chironomidae,Family,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,NA,NA,NA,NA,NA,1/1/1995,1/1/2007,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Culicidae Larvae,Culicidae Larvae,NA,NA,NA,Larva,Ceratopogonidae,Family,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Diptera Adult,Diptera Adult,NA,NA,NA,Larva,Culicidae,Family,Arthropoda,Insecta,Diptera,Culicidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Diptera Larvae UNID,Diptera Larvae UNID,NA,NA,NA,Larva,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Diptera Pupae,Diptera Pupae,NA,NA,NA,Larva,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Diptera pupae,Diptera pupae,NA,NA,NA,Larva,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Brachycera Larvae,Brachycera Larvae,NA,NA,NA,Larva,Dolichopodidae,Family,Arthropoda,Insecta,Diptera,Dolichopodidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Diptera Larvae Other,Diptera Larvae Other,NA,NA,NA,Larva,Ephydridae,Family,Arthropoda,Insecta,Diptera,Ephydridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Brachycera Pupae,Brachycera Pupae,NA,NA,NA,Larva,Muscidae,Family,Arthropoda,Insecta,Diptera,Muscidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Nematocera pupae,Nematocera pupae,NA,NA,NA,Larva,Psychodidae,Family,Arthropoda,Insecta,Diptera,Psychodidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Dolichopodidae larvae,Dolichopodidae larvae,NA,NA,NA,Larva,Sciomyzidae,Family,Arthropoda,Insecta,Diptera,Sciomyzidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ephydridae Larvae,Ephydridae Larvae,NA,NA,NA,Larva,Simuliidae,Family,Arthropoda,Insecta,Diptera,Simuliidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Muscidae larvae,Muscidae larvae,NA,NA,NA,Larva,Stratiomyidae,Family,Arthropoda,Insecta,Diptera,Stratiomyidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Psychodidae larvae,Psychodidae larvae,NA,NA,NA,Larva,Tabanidae,Family,Arthropoda,Insecta,Diptera,Tabanidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Sciomyzidae Larvae,Sciomyzidae Larvae,NA,NA,NA,Larva,Tipulidae,Family,Arthropoda,Insecta,Diptera,Tipulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Simuliidae larvae,Simuliidae larvae,NA,NA,NA,Pupa,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Stratiomyidae larvae,Stratiomyidae larvae,NA,NA,NA,Pupa,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tabanidae,Tabanidae,NA,NA,NA,Pupa,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tipulidae larvae,Tipulidae larvae,NA,NA,NA,Pupa,Diptera,Order,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Baetidae,Baetidae,NA,NA,NA,Adult,Ephemeroptera,Order,Arthropoda,Insecta,Ephemeroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Caenidae,Caenidae,NA,NA,NA,Larva,Baetidae,Family,Arthropoda,Insecta,Ephemeroptera,Baetidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ephemeroptera larvae UNID,Ephemeroptera larvae UNID,NA,NA,NA,Larva,Caenidae,Family,Arthropoda,Insecta,Ephemeroptera,Caenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ephemeroptera larvae Other,Ephemeroptera larvae Other,NA,NA,NA,Larva,Ephemeroptera,Order,Arthropoda,Insecta,Ephemeroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ephemeroptera Adult,Ephemeroptera Adult,NA,NA,NA,Larva,Ephemeroptera,Order,Arthropoda,Insecta,Ephemeroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tricorythidae larvae,Tricorythidae larvae,NA,NA,NA,Larva,Tricorythidae,Family,Arthropoda,Insecta,Ephemeroptera,Tricorythidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Leptohyphidae mayfly larvae,Leptohyphidae mayfly larvae,NA,NA,NA,Larva,Tricorythodes minutus,Species,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,minutus,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Aphididae Larvae,Aphididae Larvae,NA,NA,NA,Adult,Aphididae,Family,Arthropoda,Insecta,Hemiptera,Aphididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Aphididae Adult,Aphididae Adult,NA,NA,NA,Adult,Belostomatidae,Family,Arthropoda,Insecta,Hemiptera,Belostomatidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Belostomatidae,Belostomatidae,NA,NA,NA,Adult,Cicadellidae,Family,Arthropoda,Insecta,Hemiptera,Cicadellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Leafhopper,Leafhopper,NA,NA,NA,Adult,Corixidae,Family,Arthropoda,Insecta,Hemiptera,Corixidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,juvenile leafhopper,juvenile leafhopper,NA,NA,NA,Adult,Gerridae,Family,Arthropoda,Insecta,Hemiptera,Gerridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Corixidae,Corixidae,NA,NA,NA,Adult,Hebridae,Family,Arthropoda,Insecta,Hemiptera,Hebridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Gerridae,Gerridae,NA,NA,NA,Adult,Hemiptera,Order,Arthropoda,Insecta,Hemiptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hebridae,Hebridae,NA,NA,NA,Adult,Hemiptera,Order,Arthropoda,Insecta,Hemiptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hemiptera Other,Hemiptera Other,NA,NA,NA,Adult,Hemiptera,Order,Arthropoda,Insecta,Hemiptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Homoptera,Homoptera,NA,NA,NA,Adult,Hydrometridae,Family,Arthropoda,Insecta,Hemiptera,Hydrometridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera Other,Hymenoptera Other,NA,NA,NA,Adult,Mesoveliidae,Family,Arthropoda,Insecta,Hemiptera,Mesoveliidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydrometridae,Hydrometridae,NA,NA,NA,Adult,Nepidae,Family,Arthropoda,Insecta,Hemiptera,Nepidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Mesoveliidae,Mesoveliidae,NA,NA,NA,Adult,Psyllidae,Family,Arthropoda,Insecta,Hemiptera,Psyllidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Nepidae,Nepidae,NA,NA,NA,Adult,Veliidae,Family,Arthropoda,Insecta,Hemiptera,Veliidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Psyllidae,Psyllidae,NA,NA,NA,Juvenile,Cicadellidae,Family,Arthropoda,Insecta,Hemiptera,Cicadellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Psyllidae Larvae,Psyllidae Larvae,NA,NA,NA,Larva,Aphididae,Family,Arthropoda,Insecta,Hemiptera,Aphididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Vellidae,Vellidae,NA,NA,NA,Larva,Psyllidae,Family,Arthropoda,Insecta,Hemiptera,Psyllidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ant,Ant,NA,NA,NA,Adult,Formicidae,Family,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hymenoptera UNID,Hymenoptera UNID,NA,NA,NA,Adult,Hymenoptera,Order,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Lepidoptera Larvae,Lepidoptera Larvae,NA,NA,NA,Adult,Lepidoptera,Order,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Lepidoptera adult,Lepidoptera adult,NA,NA,NA,Larva,Lepidoptera,Order,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Lepidoptera pupae,Lepidoptera pupae,NA,NA,NA,Pupa,Lepidoptera,Order,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Sisyridae Larvae,Sisyridae Larvae,NA,NA,NA,Larva,Insecta,Class,Arthropoda,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1995,1/1/2000,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Aeshnidae larvae,Aeshnidae larvae,NA,NA,NA,Larva,Insecta,Class,Arthropoda,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Coenagrionidae larvae,Coenagrionidae larvae,NA,NA,NA,Undifferentiated,Insecta,Class,Arthropoda,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Gomphidae larvae,Gomphidae larvae,NA,NA,NA,Larva,Sisyridae,Family,Arthropoda,Insecta,Neuroptera,Sisyridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Libellulidae,Libellulidae,NA,NA,NA,Adult,Odonata,Order,Arthropoda,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Zygoptera Adult,Zygoptera Adult,NA,NA,NA,Larva,Aeshnidae,Family,Arthropoda,Insecta,Odonata,Aeshnidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Odonata larvae Other,Odonata larvae Other,NA,NA,NA,Larva,Coenagrionidae,Family,Arthropoda,Insecta,Odonata,Coenagrionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Orthoptera,Orthoptera,NA,NA,NA,Larva,Gomphidae,Family,Arthropoda,Insecta,Odonata,Gomphidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Psocoptera Adult,Psocoptera Adult,NA,NA,NA,Larva,Libellulidae,Family,Arthropoda,Insecta,Odonata,Libellulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Psocoptera Larvae,Psocoptera Larvae,NA,NA,NA,Larva,Odonata,Order,Arthropoda,Insecta,Odonata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Thrips,Thrips,NA,NA,NA,Adult,Orthoptera,Order,Arthropoda,Insecta,Orthoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydroptilidae Larvae Caddisfly,Hydroptilidae Larvae Caddisfly,NA,NA,NA,Adult,Psocoptera,Order,Arthropoda,Insecta,Psocoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydroptilidae Adult Caddisfly,Hydroptilidae Adult Caddisfly,NA,NA,NA,Larva,Psocoptera,Order,Arthropoda,Insecta,Psocoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydroptilidae Pupae Caddisfly,Hydroptilidae Pupae Caddisfly,NA,NA,NA,Adult,Thysanoptera,Order,Arthropoda,Insecta,Thysanoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Polycentripodidae larvae,Polycentripodidae larvae,NA,NA,NA,Adult,Hydroptilidae,Family,Arthropoda,Insecta,Trichoptera,Hydroptilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tricoptera larvae UNID,Tricoptera larvae UNID,NA,NA,NA,Adult,Trichoptera,Order,Arthropoda,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tricoptera larvae Other,Tricoptera larvae Other,NA,NA,NA,Larva,Hydroptilidae,Family,Arthropoda,Insecta,Trichoptera,Hydroptilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Trichoptera Adult,Trichoptera Adult,NA,NA,NA,Larva,Polycentropodidae,Family,Arthropoda,Insecta,Trichoptera,Polycentropodidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,Other Insect larvae,Insect larvae UNID,Insect larvae UNID,Insecta larva,NA,NA,Larva,Trichoptera,Order,Arthropoda,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Insect Unid,Insect Unid,NA,NA,NA,Larva,Trichoptera,Order,Arthropoda,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Insect larvae Other,Insect larvae Other,NA,NA,NA,Pupa,Hydroptilidae,Family,Arthropoda,Insecta,Trichoptera,Hydroptilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americophium sp. undifferentiated,NA,NA,Adult,Americorophium spinicorne,Species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,spinicorne,NA,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corophium sp. undifferentiated,NA,NA,Adult,Americorophium stimpsoni,Species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,stimpsoni,NA,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammarus sp. undifferentiated,NA,NA,Adult,Ampelisca abdita,Species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,abdita,1/1/1954,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,A_spinicorne,NA,Americorophium spinicorne,NA,Americorophium_spinicorne,NA,Americorophium spinicorne,Americorophium spinicorne,NA,NA,NA,Adult,Amphipoda,Order,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,1/1/1996,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,A_stimpsoni,NA,Americorophium stimpsoni,NA,Americorophium_stimpsoni,NA,Americorophium stimpsoni,Americorophium stimpsoni,NA,NA,NA,Adult,Ampithoe,Genus,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,NA,1/1/1941,1/1/2014,NA,NA,NA,NA,NA,NA,other
NA,NA,A_abdita,NA,Ampelisca abdita,NA,Ampelisca_abdita,NA,NA,NA,NA,NA,NA,Adult,Caprellidae,Family,Arthropoda,Malacostraca,Amphipoda,Caprellidae,NA,NA,NA,1/1/2014,NA,NA,NA,NA,NA,NA,other
NA,NA,Unidentified_Amphipod,NA,Unidentified Amphipod,NA,Unidentified_Amphipod,NA,Amphipod UNID,Amphipod UNID,NA,NA,NA,Adult,Corophiidae,Family,Arthropoda,Malacostraca,Amphipoda,Corophiidae,NA,NA,NA,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Amphipod juvenile,Amphipod juvenile,NA,NA,NA,Adult,Crangonyx,Genus,Arthropoda,Malacostraca,Amphipoda,Crangonycitidae,Crangonyx,NA,1/1/1995,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Juvenile Amphipod,Juvenile Amphipod,NA,NA,NA,Adult,Eogammarus,Genus,Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,Eogammarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,Ampithoe_sp,NA,NA,NA,NA,NA,Ampithoe,Ampithoe,NA,NA,NA,Adult,Gammarus,Genus,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,NA,1/1/1986,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,Caprelidae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,Gammarus daiberi,Species,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,daiberi,1/1/1983,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Corophiid Juvenile,Corophiid Juvenile,NA,NA,NA,Adult,Grandidierella,Genus,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,NA,1/1/1966,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,Unidentified_Corophium,NA,Unidentified Corophium,NA,Unidentified_Corophium,NA,Corophiid UNID,Corophiid UNID,NA,NA,NA,Adult,Grandidierella japonica,Species,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,japonica,NA,1/1/2017,NA,1/1/2019,NA,NA,NA,NA,other
NA,NA,Crangonyx_sp,NA,Crangonyx sp_,NA,Crangonyx_sp,NA,Crangonyx,Crangonyx,NA,NA,NA,Adult,Hyalella,Genus,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,NA,NA,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Eogammarus,Eogammarus,NA,NA,NA,Adult,Monocorophium,Genus,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,NA,NA,1/1/2014,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Gammarid juvenile,Gammarid juvenile,NA,NA,NA,Adult,Oedicerotidae,Family,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,NA,NA,NA,1/1/2014,NA,NA,NA,NA,NA,NA,other
NA,NA,Unidentified_Gammarus,NA,Unidentified Gammarus,NA,Unidentified_Gammarus,Gammarus,Gammarus,Gammarus,NA,NA,NA,Adult,Pleustidae,Family,Arthropoda,Malacostraca,Amphipoda,Pleustidae,NA,NA,NA,1/1/2014,NA,NA,NA,NA,NA,NA,other
NA,NA,G_daiberi,NA,Gammarus daiberi,NA,Gammarus_daiberi,NA,NA,NA,NA,NA,NA,Adult,Melita,Genus,Arthropoda,Malacostraca,Amphipoda,Hadzioidea,Melita,NA,1/1/1938,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Grandidierella,Grandidierella,NA,NA,NA,Adult,Sinocorophium alienense,Species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,alienense,1/1/1973,1/1/2014,NA,1/1/2013,NA,NA,NA,NA,other
NA,NA,G_japonica,NA,NA,NA,Grandidierella_japonica,NA,NA,NA,NA,NA,NA,Adult,Talitridae,Family,Arthropoda,malacostraca,Amphipoda,Talitridae,NA,NA,1/1/1962,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,Hyalella_sp,NA,Hyalella sp_,NA,Hyalella_sp,NA,Hyalella,Hyalella,NA,NA,NA,Juvenile,Amphipoda,Order,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
